year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
2000,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2001,L,AU,AU,alb,591,mt,Australia,AUS,FALSE
2001,L,AU,AU,bet,1307,mt,Australia,AUS,FALSE
2001,L,AU,AU,pbf,7,mt,Australia,AUS,FALSE
2001,L,AU,AU,skj,6,mt,Australia,AUS,FALSE
2001,L,AU,AU,yft,2819,mt,Australia,AUS,FALSE
2001,L,AU,AU,blm,46,mt,Australia,AUS,FALSE
2001,L,AU,AU,bum,72,mt,Australia,AUS,FALSE
2001,L,AU,AU,mls,539,mt,Australia,AUS,FALSE
2001,L,AU,AU,swo,2267,mt,Australia,AUS,FALSE
2001,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2001,L,AU,AU,mak,154,mt,Australia,AUS,FALSE
2001,L,AU,AU,ocs,25,mt,Australia,AUS,FALSE
2001,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2001,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
2001,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2002,L,AU,AU,alb,553,mt,Australia,AUS,FALSE
2002,L,AU,AU,bet,1002,mt,Australia,AUS,FALSE
2002,L,AU,AU,pbf,6,mt,Australia,AUS,FALSE
2002,L,AU,AU,skj,8,mt,Australia,AUS,FALSE
2002,L,AU,AU,yft,3531,mt,Australia,AUS,FALSE
2002,L,AU,AU,blm,72,mt,Australia,AUS,FALSE
2002,L,AU,AU,bum,90,mt,Australia,AUS,FALSE
2002,L,AU,AU,mls,637,mt,Australia,AUS,FALSE
2002,L,AU,AU,swo,2275,mt,Australia,AUS,FALSE
2002,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2002,L,AU,AU,mak,123,mt,Australia,AUS,FALSE
2002,L,AU,AU,ocs,34,mt,Australia,AUS,FALSE
2002,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2002,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
2002,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2003,L,AU,AU,alb,490,mt,Australia,AUS,FALSE
2003,L,AU,AU,bet,1024,mt,Australia,AUS,FALSE
2003,L,AU,AU,pbf,12,mt,Australia,AUS,FALSE
2003,L,AU,AU,skj,3,mt,Australia,AUS,FALSE
2003,L,AU,AU,yft,3681,mt,Australia,AUS,FALSE
2003,L,AU,AU,blm,67,mt,Australia,AUS,FALSE
2003,L,AU,AU,bum,107,mt,Australia,AUS,FALSE
2003,L,AU,AU,mls,683,mt,Australia,AUS,FALSE
2003,L,AU,AU,swo,2039,mt,Australia,AUS,FALSE
2003,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2003,L,AU,AU,mak,83,mt,Australia,AUS,FALSE
2003,L,AU,AU,ocs,15,mt,Australia,AUS,FALSE
2003,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2003,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
2003,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2004,L,AU,AU,alb,667,mt,Australia,AUS,FALSE
2004,L,AU,AU,bet,892,mt,Australia,AUS,FALSE
2004,L,AU,AU,pbf,10,mt,Australia,AUS,FALSE
2004,L,AU,AU,skj,1,mt,Australia,AUS,FALSE
2004,L,AU,AU,yft,2356,mt,Australia,AUS,FALSE
2004,L,AU,AU,blm,37,mt,Australia,AUS,FALSE
2004,L,AU,AU,bum,63,mt,Australia,AUS,FALSE
2004,L,AU,AU,mls,465,mt,Australia,AUS,FALSE
2004,L,AU,AU,swo,1784,mt,Australia,AUS,FALSE
2004,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2004,L,AU,AU,mak,80,mt,Australia,AUS,FALSE
2004,L,AU,AU,ocs,9,mt,Australia,AUS,FALSE
2004,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2004,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
2004,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2005,L,AU,AU,alb,743,mt,Australia,AUS,FALSE
2005,L,AU,AU,bet,791,mt,Australia,AUS,FALSE
2005,L,AU,AU,pbf,13,mt,Australia,AUS,FALSE
2005,L,AU,AU,skj,2,mt,Australia,AUS,FALSE
